Section,Control ID,Control Activity,Evidence Required,Status,Notes
Logical and Physical Access - Physical Access,5.5.3,Environmental controls monitored,"HVAC, fire suppression records",Not Started,
Logical and Physical Access - Physical Access,5.5.4,Equipment disposal procedures secure,"Disposal records, certificates",Not Started,
System Operations - System Monitoring,6.1.1,Security monitoring tools implemented,"SIEM configuration, coverage",Not Started,
System Operations - System Monitoring,6.1.2,Log management established,"Log retention policy, storage",Not Started,
System Operations - System Monitoring,6.1.3,Anomaly detection configured,"Detection rules, alert records",Not Started,
System Operations - System Monitoring,6.1.4,Security metrics reported regularly,"Security dashboards, reports",Not Started,
System Operations - Change Management,6.2.1,Change management policy documented,Change management policy,Not Started,
System Operations - Change Management,6.2.2,Change advisory board established,"CAB charter, meeting records",Not Started,
System Operations - Change Management,6.2.3,Emergency change procedures defined,Emergency change procedures,Not Started,
System Operations - Change Management,6.2.4,All changes tested before production,"Testing documentation, approvals",Not Started,
System Operations - Change Management,6.2.5,Rollback procedures documented,"Rollback plans, test results",Not Started,
System Operations - Backup and Recovery,6.3.1,Backup policy documented and approved,"Backup policy, RPO/RTO defined",Not Started,
System Operations - Backup and Recovery,6.3.2,Automated backups configured,"Backup schedules, configurations",Not Started,
System Operations - Backup and Recovery,6.3.3,Backup restoration tested quarterly,Restoration test records,Not Started,
System Operations - Backup and Recovery,6.3.4,Offsite/offline backup storage,Backup location documentation,Not Started,
System Operations - Backup and Recovery,6.3.5,Disaster recovery plan current,"DR plan, contact lists, procedures",Not Started,
System Operations - Backup and Recovery,6.3.6,DR drills performed annually,"DR test reports, lessons learned",Not Started,
Change Management - System Development,7.1.1,SDLC policy documented,"SDLC policy, standards",Not Started,
Change Management - System Development,7.1.2,Security requirements in design,Security requirements documents,Not Started,
Change Management - System Development,7.1.3,Code review process implemented,"Code review records, checklists",Not Started,
Change Management - System Development,7.1.4,Security testing in pipeline,"SAST/DAST reports, pen test results",Not Started,
Change Management - Configuration Management,7.2.1,Baseline configurations established,"Hardening standards, baselines",Not Started,
Change Management - Configuration Management,7.2.2,Configuration drift monitoring,"Compliance scans, drift reports",Not Started,
Change Management - Configuration Management,7.2.3,Unauthorized change detection,"Change detection alerts, investigations",Not Started,
Risk Mitigation - Vendor Management,8.1.1,Vendor risk assessment performed,"Vendor risk assessments, due diligence",Not Started,
Risk Mitigation - Vendor Management,8.1.2,Security requirements in contracts,"Contract review checklist, clauses",Not Started,
Risk Mitigation - Vendor Management,8.1.3,Vendor monitoring program established,"Vendor review schedule, reports",Not Started,
Risk Mitigation - Vendor Management,8.1.4,Subservice organization controls evaluated,"SOC reports, compliance certificates",Not Started,
Risk Mitigation - Business Continuity,8.2.1,BCP documented and approved,Business continuity plan,Not Started,
Risk Mitigation - Business Continuity,8.2.2,Critical systems identified,"Critical system inventory, prioritization",Not Started,
Risk Mitigation - Business Continuity,8.2.3,BCP testing performed,"BCP test reports, updates",Not Started,
Risk Mitigation - Business Continuity,8.2.4,Crisis communication plan established,"Communication plan, contact database",Not Started,
Trust Services Criteria - Availability,A1.1.1,System availability monitoring,"Uptime monitoring, SLAs",Not Started,
Trust Services Criteria - Availability,A1.1.2,Capacity planning performed,"Capacity reports, planning documents",Not Started,
Trust Services Criteria - Availability,A1.1.3,Environmental protections at data centers,"Facility audits, certifications",Not Started,
Trust Services Criteria - Availability,A1.1.4,Recovery point objective (RPO) defined,RPO documentation and testing,Not Started,
Trust Services Criteria - Availability,A1.1.5,Recovery time objective (RTO) defined,RTO documentation and testing,Not Started,
Trust Services Criteria - Confidentiality,C1.1.1,Confidentiality agreements in place,"NDA templates, signed agreements",Not Started,
Trust Services Criteria - Confidentiality,C1.1.2,Encryption at rest implemented,"Encryption configuration, key management",Not Started,
Trust Services Criteria - Confidentiality,C1.1.3,Encryption in transit enforced,"TLS configuration, certificate management",Not Started,
Trust Services Criteria - Confidentiality,C1.1.4,Data loss prevention tools implemented,"DLP configuration, incident records",Not Started,
Trust Services Criteria - Processing Integrity,PI1.1.1,Data processing procedures documented,"Processing procedures, workflows",Not Started,
Trust Services Criteria - Processing Integrity,PI1.1.2,Data quality controls implemented,"Quality checks, validation rules",Not Started,
Trust Services Criteria - Processing Integrity,PI1.1.3,Error handling procedures defined,"Error logs, correction procedures",Not Started,
Trust Services Criteria - Processing Integrity,PI1.1.4,Processing authorization controls,"Approval workflows, audit trails",Not Started,
Trust Services Criteria - Privacy,P1.1.1,Privacy notice published,"Privacy policy, website screenshots",Not Started,
Trust Services Criteria - Privacy,P1.1.2,Consent management implemented,"Consent records, preference center",Not Started,
Trust Services Criteria - Privacy,P1.1.3,Data subject rights process defined,"DSAR procedures, response records",Not Started,
Trust Services Criteria - Privacy,P1.1.4,Privacy impact assessments conducted,PIA documentation and dates,Not Started,
Trust Services Criteria - Privacy,P1.1.5,Cross-border transfer mechanisms,"Transfer agreements, SCCs",Not Started,
